author,author1,edition_year,name,price,publisher,ratings
[明] 罗贯中,,1998-05,三国演义（全二册）,39.50元,人民文学出版社,9.2
王小波,,1999-3,黄金时代,19.00元,花城出版社,8.8
安妮宝贝,,2001-9,彼岸花,20.00元,南海出版公司,7.8
笛安,,2009-3,西决,22.80元,长江文艺出版社,7.9
[英] 阿加莎·克里斯蒂,陈尧光,2006-5,东方快车谋杀案,18.00元,人民文学出版社,9.0
[日] 村上春树,林少华,2007-7,挪威的森林,23.00元,上海译文出版社,8.5
文：安东尼,,2010-3,这些都是你给我的爱,24.80元,长江文艺出版社,8.4
吴念真,,2011-9,这些人，那些事,28.00元,译林出版社,8.8
安妮宝贝,,2001-1,八月未央,16.00元,作家出版社,7.5
[日] 村上春树,施小炜,2009-1,当我谈跑步时我谈些什么,25.00,南海出版公司,8.1
当年明月,,2007-1,明朝那些事儿（贰）,24.80,中国友谊出版公司,8.9
安妮宝贝,,2004-10,清醒纪,22.00元,天津人民出版社,7.9
[奥] 斯台芬·茨威格,张玉书,2007-7,一个陌生女人的来信,20.00元,上海译文出版社,8.7
蔡康永 著,,2010-10,蔡康永的说话之道,25.00元,沈阳出版社,7.1
(法)马克·李维,段韵灵,2012-6-20,偷影子的人,29.80元,湖南文艺出版社,7.8
安东尼,,2008-3,陪安东尼度过漫长岁月,18.00,长江文艺出版社,8.3
王小波,,1997-10,沉默的大多数,27.00元,中国青年出版社,9.1
陈忠实,,1997-12,白鹿原,28.00元,人民文学出版社,8.6
[美国] 桑德拉·希斯内罗丝,潘帕,2006-6,芒果街上的小屋,24.50元,译林出版社,7.8
（法）莫泊桑,柳鸣九,2007-6,羊脂球,13.50元,北京燕山出版社,8.1
[英] 笛福,马静,2002-1,鲁滨逊漂流记,9.20元,广西民族出版社,8.0
[日] 井上雄彦,邹宁,2005-1,灌篮高手31,7.50元,长春出版社,9.5
三毛,,2003-8,撒哈拉的故事,15.80元,哈尔滨出版社,9.2
[法]雨果,陈敬容,1982-6,巴黎圣母院,22.50元,人民文学出版社,8.3
[美] 斯蒂芬·金,施寄青,2006-7,肖申克的救赎,29.90元,人民文学出版社,9.1
[美国] J. D. 塞林格,孙仲旭,2007-3,麦田里的守望者,28.00元,译林出版社,8.1
[美] 伍绮诗,孙璐,2015-7,无声告白,35.00元,江苏凤凰文艺出版社,8.2
（日）东野圭吾,刘子倩,2009年11月,嫌疑人X的献身,19.80元,南海出版公司,9.0
艾米,,2007-9,山楂树之恋,25.00元,江苏文艺出版社,7.8
唐七公子,,2011-1,华胥引（全二册）,39.80元,现代出版社,8.4
幾米,,2002-2,地下铁,32.00元,辽宁教育出版社,8.3
[日] 村上春树,林少华,2001-8,且听风吟,11.80元,上海译文出版社,7.8
[苏] 尼·奥斯特洛夫斯基,曹缦西,1996-10,钢铁是怎样炼成的,20.00元,译林出版社,7.6
张爱玲,,1996-06,红玫瑰与白玫瑰,12.80元,花城出版社,8.4
安意如,,2006-8,人生若只如初见,23.80元,天津教育出版社,7.2
太宰治,许时嘉,2009年9月,人间失格,16.00元,吉林出版集团有限责任公司,8.3
天下霸唱,,2006,鬼吹灯之精绝古城,25.0,安徽文艺出版社,8.1
（丹麦）安徒生,叶君健,1997-08,安徒生童话故事集,25.00,人民文学出版社,9.2
鲁迅,,1973年3月,呐喊,0.36元,人民文学出版社,8.8
张爱玲,,2009-4,小团圆,28.00,北京十月文艺出版社,7.6
明晓溪,,2006-3,泡沫之夏,20.00元,新世界出版社,6.9
[澳] 考琳·麦卡洛,曾胡,1998-7,荆棘鸟,28.00元,译林出版社,8.6
郭敬明,,2003-5,左手倒影，右手年华。,16.00元,上海译文出版社,6.7
韩寒,,2000-08,零下一度,12.00,上海人民出版社,7.2
韩寒,,2002-1,像少年啦飞驰,16.00元,作家出版社,7.3
[美] 彼得·海斯勒,李雪顺,2011-1,寻路中国,33.00元,上海译文出版社,9.0
七堇年,,2007-11,被窝是青春的坟墓,22.00元,长江文艺出版社,7.7
明晓溪,,2005-5,会有天使替我爱你,20.00元,新世界出版社,6.6
[英] 乔治·奥威尔,刘绍铭,2010-4-1,1984,28.00,北京十月文艺出版社,9.3
落落,,2005-2,年华是无效信,20.00元,春风文艺出版社,7.6
〔日〕东野圭吾,李炜,2009年9月,幻夜,28.00元,南海出版公司,7.5
[美] 杰克·凯鲁亚克,王永年,2006-10,在路上,28.00元,上海译文出版社,7.8
金庸,,1999-04,射雕英雄传（全四册）,47.00元,生活·读书·新知三联书店,8.9
当年明月,,2009-4,明朝那些事儿（1-9）,358.20元,中国海关出版社,9.1
幾米,,2000-2-1,月亮忘記了,NT$ 299,格林,8.6
廖信忠,,2009-11,我们台湾这些年,29.80元,重庆出版集团,7.4
[日] 村上春树,施小炜,2011-1,1Q84 BOOK 3,39.50元,南海出版公司,7.6
[日] 岩井俊二,张苓,2006-12,关于莉莉周的一切,28.00元,天津人民出版社,7.7
藤子・F・不二雄,碧日,1999-12,机器猫哆啦A梦23,8.00,吉林美术出版社,9.5
鲁迅,,2003-7,阿Q正传,14.50元,上海书店出版社,8.7
大冰,,2014-9-1,乖，摸摸头,36.00元,湖南文艺出版社,7.4
七堇年,,2007-1,大地之灯,22.00元,长江文艺出版社,8.2
[英]克莱儿·麦克福尔,付强,2015-6-1,摆渡人,36.00,百花洲文艺出版社,6.2
王小波,,2009-07-01,黄金时代,23.00元,陕西师范大学出版社,8.9
当年明月,,2007-4,明朝那些事儿（叁）,24.80,中国友谊出版公司,8.9
三毛,,2003-6,哭泣的骆驼,15.80元,哈尔滨出版社,8.9
辛夷坞,,2007-10,原来你还在这里,25.00元,朝华出版社,7.6
当年明月,,2008-3,明朝那些事儿（伍）,28.80,中国友谊出版公司,8.8
老舍,,2000-3-1,骆驼祥子,12.00,人民文学出版社,8.2
南派三叔,,2007-11,盗墓笔记3,26.80元,中国友谊出版公司,8.4
[美] 欧·亨利,张经浩,2003-7,麦琪的礼物,25.00元,上海社会科学院出版社,8.6
格林兄弟,魏以新,1994-11,格林童话全集,21.45元,人民文学出版社,8.9
[美] 莫提默·J. 艾德勒,郝明义,2004-1,如何阅读一本书,38.00元,商务印书馆,8.4
[美] 雷蒙德·卡佛,小二,2010-1,当我们谈论爱情时我们在谈论什么,22.00元,译林出版社,7.8
阿来,,1998-3-1,尘埃落定,22.0,人民文学出版社,8.4
张悦然,,2005-1,水仙已乘鲤鱼去,19.00元,作家出版社,7.8
林达,,1997-5,历史深处的忧虑,19.00元,生活·读书·新知三联书店,9.0
今何在,,2001-4,悟空传,14.80元,光明日报出版社,8.4
余华,,2005-8,兄弟（上）,16.00元,上海文艺出版社,8.3
艾米莉·勃朗特,张扬,1999-1,呼啸山庄,27.30元,人民文学出版社,8.4
金庸,,1994-5,笑傲江湖（全四册）,76.80元,生活·读书·新知三联书店,9.0
[美] M·斯科特·派克,于海生,2007-1,少有人走的路,26.00元,吉林文史出版社,8.4
刘瑜,,2009-6,民主的细节,25.00,上海三联书店,8.6
高铭,,2010-2,天才在左 疯子在右,29.80元,武汉大学出版社,8.2
[英] 奥斯丁,张玲,1993-7,傲慢与偏见,13.00元,人民文学出版社,8.8
张爱玲,,1997-3-1,倾城之恋,11.00,花城出版社,8.5
韩寒,,2000-5,三重门,16.00,作家出版社,7.4
李可,,2007-9,杜拉拉升职记,26.00元,陕西师范大学出版社,7.8
当年明月,,2006-9,明朝那些事儿（壹）,24.80,中国友谊出版公司,8.7
龙应台,,2008-12,亲爱的安德烈,26.00,人民文学出版社,8.7
[美] 卡勒德·胡赛尼,李继宏,2007-9,灿烂千阳,28.00元,上海人民出版社,8.8
海明威,吴劳,1999-10,老人与海,8.20元,上海译文出版社,8.3
张德芬,,2008-1,遇见未知的自己,29.00,华夏出版社,8.1
[英] 乔治·奥威尔,董乐山,2003-4,一九八四·动物农场,23.00元,上海译文出版社,9.3
[巴西]保罗·柯艾略,丁文林,2009-3-1,牧羊少年奇幻之旅,25.00元,南海出版公司,8.6
[英] 阿·柯南道尔,丁钟华 等,1981-8,福尔摩斯探案全集（上中下）,53.00元/68.00元,群众出版社,9.2
郭敬明,,2008-10,小时代1.0折纸时代,29.80元,长江文艺出版社,6.5
[英] J. K. 罗琳,郑须弥,2000-9,哈利·波特与阿兹卡班的囚徒,26.50元,人民文学出版社,8.9
龙应台,,2009-10,目送,39.00元,生活·读书·新知三联书店,8.7
[法] 玛格丽特·杜拉斯,王道乾,2005-7,情人,20.00元,上海译文出版社,8.1
[英] J. K. 罗琳,马爱新,2000-9,哈利·波特与密室,22.00元,人民文学出版社,8.9
[美] 黄仁宇,,1997-5,万历十五年,18.00元,生活·读书·新知三联书店,8.9
杨绛,,2003-7,我们仨,18.80元,生活·读书·新知三联书店,8.7
郭敬明,,2003-1,幻城,28.00元,春风文艺出版社,7.0
辛夷坞,,2007-8,致我们终将逝去的青春,25.00元,朝华出版社,7.8
[美] 弗拉基米尔·纳博科夫,主万,2005-12,洛丽塔,27.00元,上海译文出版社,7.7
[哥伦比亚] 加西亚·马尔克斯,黄锦炎,1989-10,百年孤独,12.70元,上海译文出版社,8.9
[日] 村上春树,施小炜,2010-6,1Q84 BOOK 2,36.00元,南海出版公司,8.4
安妮宝贝,,2007-9,素年锦时,27.00元,作家出版社,7.8
[日] 岩井俊二,穆晓芳,2004-7,情书,18.00元,天津人民出版社,8.6
蔡智恒,,1999-11-1,第一次的亲密接触,12.80,知识出版社,7.4
金庸,有1996年11月北平第4次印本,1994-5,神雕侠侣,76.80元,生活·读书·新知三联书店,8.8
韩寒,,2006-1,一座城池,19.90元,二十一世纪出版社,7.4
[日] 村上春树,施小炜,2010-5,1Q84 BOOK 1,36.00元,南海出版公司,8.3
姜戎,,2004-4,狼图腾,32.00元,长江文艺出版社,8.3
顾漫,,2009-8,微微一笑很倾城,25.00,江苏文艺出版社,8.0
韩寒 主编,,2010-7-6,独唱团（第一辑）,16.00元,书海出版社,7.8
安妮宝贝,,2006-3,莲花,25.00元,作家出版社,8.0
[英] J. K. 罗琳,马爱新,2001-5,哈利·波特与火焰杯,39.80元,人民文学出版社,9.0
沈从文,,2002-4,边城,12.00元,北岳文艺出版社,8.6
[英] 毛姆,傅惟慈,2006-8,月亮和六便士,15.00元,上海译文出版社,9.0
幾米,,2002-8,向左走·向右走,16.00元,生活·读书·新知三联书店,8.4
小仲马,王振孙,1997-3,茶花女,9.00元,外国文学出版社,8.2
[美国] J. D. 塞林格,施咸荣,1997-2,麦田里的守望者,7.80元,译林出版社,7.9
韩寒,,2009-1,他的国,25.00元,万卷出版公司,7.5
余华,,2012-8,活着,20.00元,作家出版社,9.3
霍达,,1988-12-1,穆斯林的葬礼,32.00,北京十月文艺出版社,8.2
张爱玲,,2006-12,半生缘,28.00元,北京十月文艺出版社,8.6
江南,,2004-1,此间的少年,25.00元,华文出版社,8.4
宋鸿兵 编著,,2007-6,货币战争,38.00元,中信出版社,7.2
匪我思存,,2007-2,佳期如梦,20.00元,新世界出版社,7.9
[以色列]尤瓦尔·赫拉利,林俊宏,2014-11-1,人类简史,CNY 68.00,中信出版社,9.1
[英] 阿加莎・克里斯蒂,祁阿红,2008-3,无人生还,19.00,人民文学出版社,8.9
高木直子,洪俞君,2004-12-1,一個人住第5年,NT$220,大田,8.4
菲茨杰拉德,姚乃强,2004-06,了不起的盖茨比,12.00元,人民文学出版社,8.3
[美] 奥德丽·尼芬格,夏金,2007-4,时间旅行者的妻子,29.90元,人民文学出版社,8.1
安妮宝贝,,2000-1,告别薇安,19.00,中国社会科学出版社,7.5
梁文道,,2009-1,常识,38.00,广西师范大学出版社,8.1
王小波,,2008-5,爱你就像爱生命,18.00元,上海锦绣文章出版社,8.8
三毛,,2011-1-7,撒哈拉的故事,24.00元,北京十月文艺出版社,9.3
桐华,,2006-6,步步惊心,25.00元,民族出版社,8.1
蔡崇达,,2014-12-1,皮囊,39.80元,天津人民出版社,7.6
安妮宝贝,,2004-1,二三事,20.00元,南海出版公司,7.7
余华,,2006-3,兄弟（下）,27.00元,上海文艺出版社,7.4
蒋勋,,2009-10-1,孤独六讲,36.00元,广西师范大学出版社,8.1
(法)古斯塔夫.勒庞,冯克利,1998-01,乌合之众,16.00元,中央编译出版社,8.3
南派三叔,,2007-4,盗墓笔记2,26.80元,中国友谊出版公司,8.2
当年明月,,2007-9,明朝那些事儿（肆）,24.80,中国友谊出版公司,8.8
鲍鲸鲸,,2010-1,失恋33天,25.00元,中信出版社,8.1
[英] 乔治·奥威尔,荣如德,2007-3,动物农场,10.00元,上海译文出版社,9.2
饶雪漫,,2006-2,左耳,22.00元,当代世界出版社,7.0
金庸,,2008-3,鹿鼎记（全五册）,108.00元,广州出版社 花城出版社,8.8
东野圭吾,刘子倩,2014-6,嫌疑人X的献身,35.00元,南海出版公司,9.0
郭敬明,,2010-1,小时代2.0虚铜时代,26.80元,长江文艺出版社,6.3
张爱玲,,2005-6,金锁记,13.5元,哈尔滨出版社,8.5
八月长安,,2009-12,你好，旧时光（上 下）,39.80元,新世界出版社,8.8
笛安,,2010-7-1,东霓,26.80元,长江文艺出版社,8.1
尾田荣一郎,董科,2007-11,海贼王,7.50元,浙江人民美术出版社,9.5
桐华,,2010-01,那些回不去的年少时光,23.80元,江苏文艺出版社,8.5
龙应台,,2009-12-1,孩子你慢慢来,28.00元,生活·读书·新知三联书店,8.8
安东尼,,2010-10,橙,28.80元,长江文艺出版社,8.2
[法] 雨果,李丹,1992-6,悲惨世界（上中下）,66.00元,人民文学出版社,8.9
南派三叔,,2008-11,盗墓笔记4,32.80元,中国友谊出版公司,8.4
[美] 卡罗琳·帕克丝特,何致和,2007-7,巴别塔之犬,22.00元,南海出版公司,7.7
[德] 帕·聚斯金德,李清华,2005-5,香水,20.00元,上海译文出版社,8.5
三毛,,2007-6,梦里花落知多少,28.00元,北京十月文艺出版社,8.9
王小波,,2006-4,一只特立独行的猪,18.80元,北方文艺出版社,8.8
[法] 阿尔贝·加缪,柳鸣九,2010-9,局外人,22.00元,上海译文出版社,9.0
【英】蕾秋·乔伊斯,黄妙瑜,2013-9-1,一个人的朝圣,32.80,北京联合出版公司,8.1
[美] 沃尔特·艾萨克森,管延圻,2011-10-24,史蒂夫·乔布斯传,68.00元,中信出版社,8.7
[意大利]伊塔洛·卡尔维诺,张宓,2006-8,看不见的城市,16.00元,译林出版社,8.8
王安忆,,2003-8,长恨歌,22.00元,南海出版公司,8.2
九夜茴,,2008-1,匆匆那年（上下）,29.00,东方出版社,8.3
孙睿,,2004-1,草样年华,19.50元,远方出版社,7.2
章诒和,,2004-1,往事并不如烟,35.00元,人民文学出版社,8.6
安妮宝贝,,2002-8,蔷薇岛屿,18.00元,作家出版社,8.0
寂地,,2004-10,我的路,20.00元,北方妇女儿童出版社,8.6
[美] 卡勒德·胡赛尼,李继宏,2006-5,追风筝的人,29.00元,上海人民出版社,8.9
[法] 圣埃克苏佩里,马振聘,2003-8,小王子,22.00元,人民文学出版社,9.0
钱锺书,,1991-2,围城,19.00,人民文学出版社,8.9
[日] 东野圭吾,李盈春,2014-5,解忧杂货店,39.50元,南海出版公司,8.6
余华,,1998-5,活着,12.00元,南海出版公司,9.1
[日] 东野圭吾,刘姿君,2008-9,白夜行,29.80元,南海出版公司,9.1
[日] 村上春树,林少华,2001-2,挪威的森林,18.80元,上海译文出版社,8.0
[日] 东野圭吾,刘子倩,2008-9,嫌疑人X的献身,28.00,南海出版公司,8.9
刘慈欣,,2008-1,三体,23.00,重庆出版社,8.8
[捷克] 米兰·昆德拉,许钧,2003-7,不能承受的生命之轻,23.00元,上海译文出版社,8.5
[清] 曹雪芹 著,,1996-12,红楼梦,59.70元,人民文学出版社,9.6
郭敬明,,2003-11,梦里花落知多少,20.00元,春风文艺出版社,7.1
[美] 丹·布朗,朱振武,2004-2,达·芬奇密码,28.00元,上海人民出版社,8.2
柴静,,2013-1-1,看见,39.80元,广西师范大学出版社,8.8
[哥伦比亚] 加西亚·马尔克斯,范晔,2011-6,百年孤独,39.50元,南海出版公司,9.2
韩寒,,2010-9,1988：我想和这个世界谈谈,25.00元,国际文化出版公司,7.9
顾漫,,2007-4,何以笙箫默,15.00元,朝华出版社,7.8
路遥,,2005-1,平凡的世界（全三部）,64.00元,人民文学出版社,9.0
[英] 夏洛蒂·勃朗特,,2003-11,简爱（英文全本）,18.00元,世界图书出版公司,8.5
[英] J. K. 罗琳,苏农,2000-9,哈利·波特与魔法石,19.50元,人民文学出版社,9.0
东野圭吾,刘姿君,2013-1-1,白夜行,39.50元,南海出版公司,9.2
刘慈欣,,2008-5,三体Ⅱ,32.00,重庆出版社,9.3
[美国] 玛格丽特·米切尔,李美华,2000-9,飘,40.00元,译林出版社,9.3
刘瑜,,2010-1,送你一颗子弹,25.00元,上海三联书店,8.6
刘慈欣,,2010-11,三体Ⅲ,38.00元,重庆出版社,9.2
